Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No),
D1000,1/2/2025 11:25,Exercise,13:00:00,No,No,
D1001,1/3/2025 2:52,Hydration,13:00:00,Yes,Yes,
D1002,1/8/2025 13:50,Appointment,13:30:00,No,No,
D1003,1/5/2025 5:16,Exercise,8:00:00,No,No,
D1004,1/1/2025 4:20,Medication,11:30:00,No,No,
D1005,1/20/2025 10:39,Hydration,14:30:00,No,No,
D1006,1/25/2025 10:05,Medication,15:30:00,No,No,
D1007,1/2/2025 21:13,Appointment,22:00:00,Yes,No,
D1008,1/21/2025 15:25,Medication,12:30:00,No,No,
D1009,1/15/2025 2:47,Exercise,20:30:00,Yes,Yes,
D1010,1/24/2025 13:58,Appointment,20:00:00,Yes,Yes,
D1011,1/10/2025 6:39,Exercise,12:30:00,Yes,Yes,
D1012,1/25/2025 1:18,Appointment,10:30:00,No,No,
D1013,1/6/2025 12:23,Appointment,20:30:00,No,No,
D1014,1/26/2025 14:14,Hydration,13:00:00,No,No,
D1015,1/7/2025 9:45,Hydration,13:00:00,No,No,
D1016,1/8/2025 19:04,Appointment,7:30:00,Yes,Yes,
D1017,1/21/2025 18:14,Appointment,19:30:00,Yes,Yes,
D1018,1/18/2025 22:50,Medication,16:00:00,No,No,
D1019,1/30/2025 20:49,Medication,13:00:00,Yes,Yes,
D1020,1/29/2025 15:14,Exercise,7:00:00,Yes,No,
D1021,1/12/2025 11:38,Medication,20:00:00,Yes,No,
D1022,1/17/2025 2:41,Appointment,11:30:00,No,No,
D1023,1/12/2025 9:28,Hydration,6:30:00,No,No,
D1024,1/9/2025 15:48,Appointment,7:30:00,Yes,Yes,
D1025,1/5/2025 13:05,Medication,11:30:00,Yes,Yes,
D1026,1/4/2025 0:59,Medication,7:00:00,No,No,
D1027,1/28/2025 7:52,Appointment,20:30:00,Yes,Yes,
D1028,1/1/2025 9:40,Appointment,19:00:00,No,No,
D1029,1/30/2025 21:02,Medication,15:00:00,No,No,
D1030,1/7/2025 2:12,Exercise,15:00:00,No,No,
D1031,1/8/2025 19:23,Medication,12:30:00,Yes,No,
D1032,1/30/2025 3:43,Appointment,18:00:00,No,No,
D1033,1/6/2025 20:01,Appointment,8:30:00,No,No,
D1034,1/23/2025 6:47,Exercise,7:30:00,Yes,No,
D1035,1/30/2025 5:07,Hydration,22:00:00,No,No,
D1036,1/6/2025 2:42,Exercise,20:30:00,Yes,Yes,
D1037,1/30/2025 23:40,Medication,8:00:00,Yes,Yes,
D1038,1/4/2025 17:22,Hydration,15:30:00,No,No,
D1039,1/8/2025 15:23,Medication,17:00:00,No,No,
D1040,1/26/2025 17:52,Appointment,22:00:00,No,No,
D1041,1/23/2025 5:51,Exercise,11:00:00,No,No,
D1042,1/18/2025 6:29,Hydration,10:30:00,Yes,Yes,
D1043,1/1/2025 19:58,Exercise,22:00:00,Yes,No,
D1044,1/14/2025 0:57,Hydration,17:00:00,Yes,Yes,
D1045,1/1/2025 13:42,Medication,19:00:00,Yes,Yes,
D1046,1/3/2025 8:00,Medication,13:30:00,No,No,
D1047,1/12/2025 16:49,Hydration,14:30:00,No,No,
D1048,1/23/2025 4:07,Hydration,7:00:00,No,No,
D1049,1/20/2025 19:57,Appointment,18:30:00,Yes,Yes,
D1050,1/25/2025 11:04,Medication,18:00:00,Yes,Yes,
D1051,1/21/2025 18:48,Exercise,12:30:00,No,No,
D1052,1/5/2025 0:23,Medication,17:00:00,Yes,Yes,
