Device-ID/User-ID,Timestamp,Movement Activity,Fall Detected (Yes/No),Impact Force Level,Post-Fall Inactivity Duration (Seconds),Location,Alert Triggered (Yes/No),Caregiver Notified (Yes/No),
D1000,1/7/2025 16:04,No Movement,No,-,0,Kitchen,No,No,
D1001,1/20/2025 15:45,Lying,No,-,0,Living Room,No,No,
D1002,1/2/2025 2:42,No Movement,No,-,0,Bedroom,No,No,
D1003,1/1/2025 22:36,Lying,No,-,0,Kitchen,No,No,
D1004,1/3/2025 16:30,No Movement,No,-,0,Bedroom,No,No,
D1005,1/19/2025 12:13,Sitting,No,-,0,Bedroom,No,No,
D1006,1/4/2025 10:58,Lying,No,-,0,Bathroom,No,No,
D1007,1/21/2025 7:31,Lying,No,-,0,Bedroom,No,No,
D1008,1/10/2025 23:56,Sitting,No,-,0,Kitchen,No,No,
D1009,1/4/2025 16:16,Sitting,No,-,0,Kitchen,No,No,
D1010,1/13/2025 7:05,Walking,No,-,0,Bedroom,No,No,
D1011,1/9/2025 6:32,Sitting,No,-,0,Bathroom,No,No,
D1012,1/1/2025 22:34,No Movement,No,-,0,Kitchen,No,No,
D1013,1/17/2025 10:52,Walking,No,-,0,Living Room,No,No,
D1014,1/29/2025 1:59,Walking,No,-,0,Bedroom,No,No,
D1015,1/23/2025 2:14,Sitting,No,-,0,Bedroom,No,No,
D1016,1/13/2025 10:48,Walking,No,-,0,Living Room,No,No,
D1017,1/4/2025 12:16,Sitting,No,-,0,Bathroom,No,No,
D1018,1/6/2025 8:18,No Movement,No,-,0,Living Room,No,No,
D1019,1/11/2025 21:01,Sitting,No,-,0,Living Room,No,No,
D1020,1/1/2025 16:18,Walking,No,-,0,Bathroom,No,No,
D1021,1/20/2025 17:34,Walking,No,-,0,Living Room,No,No,
D1022,1/19/2025 19:46,No Movement,Yes,Medium,463,Bathroom,Yes,Yes,
D1023,1/1/2025 20:45,Lying,No,-,0,Kitchen,No,No,
D1024,1/4/2025 7:30,No Movement,No,-,0,Bedroom,No,No,
D1025,1/2/2025 2:26,No Movement,No,-,0,Bedroom,No,No,
D1026,1/21/2025 17:02,Lying,No,-,0,Living Room,No,No,
D1027,1/21/2025 2:22,No Movement,No,-,0,Bathroom,No,No,
D1028,1/3/2025 22:44,No Movement,Yes,Low,94,Kitchen,No,No,
D1029,1/18/2025 11:56,Sitting,No,-,0,Bathroom,No,No,
D1030,1/9/2025 16:43,No Movement,No,-,0,Living Room,No,No,
D1031,1/5/2025 20:19,Walking,No,-,0,Bedroom,No,No,
D1032,1/15/2025 12:59,Walking,No,-,0,Living Room,No,No,
D1033,1/17/2025 15:23,No Movement,No,-,0,Bathroom,No,No,
D1034,1/17/2025 14:42,No Movement,No,-,0,Bedroom,No,No,
D1035,1/5/2025 18:31,Lying,No,-,0,Bedroom,No,No,
D1036,1/10/2025 13:30,Lying,No,-,0,Kitchen,No,No,
D1037,1/17/2025 4:41,Walking,No,-,0,Living Room,No,No,
D1038,1/27/2025 3:36,Walking,No,-,0,Bathroom,No,No,
D1039,1/23/2025 1:16,Lying,No,-,0,Bedroom,No,No,
D1040,1/8/2025 23:38,Sitting,No,-,0,Bathroom,No,No,
D1041,1/25/2025 19:25,Sitting,No,-,0,Living Room,No,No,
D1042,1/16/2025 18:26,Sitting,No,-,0,Bathroom,No,No,
D1043,1/25/2025 3:44,No Movement,No,-,0,Living Room,No,No,
D1044,1/22/2025 5:05,Lying,No,-,0,Bathroom,No,No,
D1045,1/14/2025 21:59,Lying,No,-,0,Bedroom,No,No,
D1046,1/12/2025 17:48,Lying,No,-,0,Living Room,No,No,
D1047,1/21/2025 3:30,Lying,No,-,0,Bathroom,No,No,
D1048,1/27/2025 7:40,Walking,No,-,0,Living Room,No,No,
D1049,1/6/2025 20:10,Sitting,No,-,0,Living Room,No,No,
D1050,1/11/2025 23:40,Sitting,No,-,0,Bedroom,No,No,
D1051,1/17/2025 7:51,Walking,No,-,0,Bedroom,No,No,
D1052,1/27/2025 11:01,Lying,No,-,0,Living Room,No,No,
D1053,1/14/2025 17:59,Walking,No,-,0,Bedroom,No,No,
D1054,1/14/2025 7:06,No Movement,No,-,0,Bedroom,No,No,
D1055,1/24/2025 13:42,No Movement,No,-,0,Bedroom,No,No,
D1056,1/1/2025 20:51,No Movement,No,-,0,Bathroom,No,No,
D1057,1/3/2025 6:08,No Movement,No,-,0,Living Room,No,No,
D1058,1/15/2025 18:37,Lying,No,-,0,Bedroom,No,No,
D1059,1/30/2025 12:43,Walking,No,-,0,Kitchen,No,No,
D1060,1/8/2025 6:36,Walking,No,-,0,Living Room,No,No,
D1061,1/9/2025 12:41,No Movement,No,-,0,Living Room,No,No,
D1062,1/25/2025 3:28,Walking,No,-,0,Kitchen,No,No,
D1063,1/1/2025 15:32,Sitting,No,-,0,Living Room,No,No,
D1064,1/8/2025 3:42,Walking,No,-,0,Living Room,No,No,
D1065,1/27/2025 20:06,No Movement,No,-,0,Kitchen,No,No,
D1066,1/29/2025 11:42,Sitting,No,-,0,Kitchen,No,No,
D1067,1/28/2025 22:37,Sitting,No,-,0,Living Room,No,No,
D1068,1/12/2025 14:45,Sitting,No,-,0,Kitchen,No,No,
D1069,1/24/2025 8:43,Sitting,No,-,0,Kitchen,No,No,
D1070,1/21/2025 12:11,No Movement,No,-,0,Kitchen,No,No,
D1071,1/12/2025 17:01,No Movement,Yes,Low,306,Bathroom,No,No,
D1072,1/6/2025 21:53,Walking,No,-,0,Bedroom,No,No,
D1073,1/25/2025 6:20,Walking,No,-,0,Living Room,No,No,
D1074,1/16/2025 16:02,Walking,No,-,0,Bathroom,No,No,
D1075,1/1/2025 19:36,Sitting,No,-,0,Living Room,No,No,
D1076,1/27/2025 21:59,Walking,No,-,0,Bathroom,No,No,
D1077,1/11/2025 22:03,Walking,No,-,0,Kitchen,No,No,
D1078,1/7/2025 18:58,Sitting,No,-,0,Living Room,No,No,
D1079,1/4/2025 5:21,No Movement,Yes,High,466,Kitchen,Yes,Yes,
D1080,1/6/2025 14:47,Walking,No,-,0,Bathroom,No,No,
D1081,1/21/2025 22:22,Sitting,No,-,0,Kitchen,No,No,
D1082,1/5/2025 2:43,Lying,No,-,0,Bathroom,No,No,
